koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_steff,koi_srad,koi_kepmag
CONFIRMED,44.4304059,143.5462,10.306,2.39E+02,2.61,50.5,5951,1.693,12.119
CONFIRMED,9.34145925,132.38581,6.18,8.17E+01,1.56,29.4,5951,1.693,12.119
CONFIRMED,4.97760447,134.67304,2.5719,2.87E+02,1.75,27.5,5353,1.023,14.531
CONFIRMED,21.1285655,149.27632,3.852,1.77E+02,2.88,12.5,5817,2.153,13.127
FALSE POSITIVE,24.4851178,137.6248,4.642,2.64E+02,7.14,10.9,6655,2.995,10.8
CONFIRMED,7.51854537,132.53078,2.845,2.87E+02,1.42,19.4,5064,0.864,14.711
CANDIDATE,86.7490807,170.29281,9.179,5.47E+02,2.23,35.7,5579,0.97,13.82
CONFIRMED,25.96190067,138.96908,6.2732,3.50E+02,3.25,37.5,6369,1.729,13.2
CONFIRMED,130.3543929,144.06022,6.474,5.13E+03,7.7,103.7,5970,1.015,15.254
CONFIRMED,1.855557556,137.181028,2.35672,1.06E+04,10.05,1853.8,5657,0.947,14.465
CANDIDATE,3.261759866,131.778858,1.7593,3.88E+03,8.01,190.4,6131,0.945,15.28
FALSE POSITIVE,3.364425589,131.66843,1.3261,4.84E+03,56.83,32,5813,0.775,15.337
CONFIRMED,16.78175788,139.79356,3.7386,9.08E+02,2.25,118.8,4925,0.742,12.971
CONFIRMED,105.3035093,207.17015,6.214,1.36E+03,3.18,40.6,5534,0.875,14.986
CONFIRMED,2.549562652,132.60803,1.6999,4.95E+02,1.11,43.7,3716,0.506,15.018
CONFIRMED,13.96950181,132.17062,1.5871,1.11E+03,2.04,37,3716,0.506,15.018
CONFIRMED,5.21230171,132.71052,2.098,4.30E+02,1.04,29.3,3716,0.506,15.018
CONFIRMED,17.76076524,137.50778,1.6679,1.29E+03,1.93,42.6,3826,0.516,15.22
CONFIRMED,10.55840479,136.34449,3.366,1.94E+02,1.41,14.6,5353,1.023,14.531
CANDIDATE,20.92735802,139.325791,3.4256,8.09E+03,17.36,263.5,6126,1.109,14.877
CONFIRMED,6.98800953,132.56964,3.103,1.93E+02,1.39,17.1,5353,1.023,14.531
CONFIRMED,22.8245144,144.46843,6.617,3.23E+02,3.36,15.9,6642,1.846,12.345
CONFIRMED,49.1011093,136.47265,6.341,8.46E+02,3.28,39.7,5393,1.11,15.041
CONFIRMED,7.05675145,132.53512,2.0261,1.30E+02,1.68,25.2,6388,1.402,12.556
CONFIRMED,34.8536903,164.04668,5.333,7.68E+02,2.4,27,5818,0.848,14.876
CONFIRMED,2.41434868,132.42878,1.2701,1.91E+02,0.97,30,4507,0.724,13.156
FALSE POSITIVE,2.466070972,132.32097,1.9559,7.05E+02,24.3,42.6,5708,0.884,15.601
CONFIRMED,4.30656389,132.44098,4.1107,2.57E+02,1.95,39.8,6108,1.03,14.136
FALSE POSITIVE,12.96471775,136.143342,1.8303,3.73E+03,39.93,183.3,6210,1.033,14.384
FALSE POSITIVE,1.731079436,134.77977,1.8419,1.20E+04,56.05,36.2,6045,0.955,15.505
CONFIRMED,7.794302043,137.260385,1.1081,3.39E+03,16.51,159.2,5494,0.982,12.394
CONFIRMED,14.5324483,140.72407,3.13,1.36E+03,3.11,16.5,5345,0.86,14.625
CONFIRMED,5.248667607,135.516708,1.917,6.01E+02,2.84,59.5,5807,1.012,13.345
CONFIRMED,7.96431492,136.81646,1.5342,7.46E+02,2.44,44.3,5185,0.91,14.425
CONFIRMED,92.7297248,177.43808,6.83,1.26E+03,2.81,43.3,4580,0.675,14.897
CONFIRMED,1.485710994,132.7935653,2.2874,2.08E+04,14.48,1176.6,5624,1.018,14.141
CANDIDATE,30.5231459,146.85072,2.7286,2.21E+03,11.26,38.7,5518,0.79,15.841
CONFIRMED,71.3116598,132.39239,8.813,2.14E+03,4.94,43.4,6194,1.069,15.674
CANDIDATE,28.78270955,132.3189,3.451,8.65E+02,2.11,40.1,4774,0.745,14.649
FALSE POSITIVE,15.44428875,138.1678,2.0791,3.60E+03,37.58,44.9,5895,0.991,15.838
CONFIRMED,1.411230023,132.641925,1.4325,3.88E+02,1.71,89.3,4575,0.737,13.59
CONFIRMED,96.9151707,187.08955,6.065,8.63E+02,2.37,53.4,5162,0.791,14.031
CONFIRMED,13.47472742,133.48999,2.5995,7.30E+02,1.96,25.3,5395,0.734,15.164
CONFIRMED,2.29503515,132.69329,1.654,1.72E+02,1.18,11.6,5637,0.909,13.09
CONFIRMED,27.495634,133.28538,4.858,4.83E+02,2.11,24.7,5657,0.911,14.55
CONFIRMED,14.08826442,137.34334,4.1847,8.89E+02,2.66,34.2,5853,0.895,15.624
CONFIRMED,3.905081685,133.4150433,2.8213,2.13E+04,12.78,1315.8,5543,0.887,15.127
CONFIRMED,110.9643706,187.04621,12.831,1.28E+03,2.11,42.1,4441,0.546,15.498
CANDIDATE,4.539297295,133.9595824,1.9455,7.98E+02,2.34,50.3,4914,0.724,13.26
CONFIRMED,6.94135824,137.5437,1.8899,8.25E+02,2.96,43.1,5527,0.88,13.828
CONFIRMED,17.27629668,133.839172,3.94738,1.05E+04,7.31,871.4,4941,0.738,14.018
CONFIRMED,31.7821117,134.8645,3.856,5.70E+02,2.08,21.6,5527,0.88,13.828
CONFIRMED,4.36273233,135.23342,2.2375,3.42E+02,1.76,25.6,5527,0.88,13.828
CONFIRMED,18.6848377,136.14587,3.7965,1.25E+03,1.93,41.2,4156,0.545,15.434
CONFIRMED,7.41634701,135.85372,2.1362,5.06E+02,1.24,20.6,4156,0.545,15.434
CONFIRMED,9.91724268,135.1389,3.2241,4.58E+02,2.85,38.8,5539,1.207,14.498
CONFIRMED,82.5341188,209.12763,4.8556,1.90E+03,2.45,40.1,4316,0.58,15.187
CONFIRMED,20.16037858,144.34281,4.13,3.44E+02,1.75,35.1,4975,0.724,13.389
CONFIRMED,10.99470891,137.35769,1.5929,8.85E+02,1.71,32.7,4302,0.586,15.389
CANDIDATE,6.73679732,136.4043415,2.36,,,,,,15.389
CANDIDATE,124.0358994,136.015098,4.8472,7.69E+03,11.13,190.1,5822,1.28,14.989
FALSE POSITIVE,1.194812329,132.18329,1.3777,1.90E+02,1.36,41.2,6198,0.97,14.029
CONFIRMED,10.84969477,136.74432,3.474,1.12E+03,2.67,43.5,5251,0.778,15.409
CONFIRMED,12.18420006,139.05644,2.5014,4.99E+02,2.59,23.3,5771,1.068,13.982
CONFIRMED,3.76417012,132.35462,2.0111,5.58E+02,1.7,27.2,5063,0.728,15.484
CONFIRMED,5.92972237,135.49811,2.518,4.12E+02,1.92,8.9,5741,0.956,14.746
CONFIRMED,12.2476121,138.2196,3.209,4.03E+02,1.9,6.8,5741,0.956,14.746
CONFIRMED,13.59051547,133.07217,3.784,6.22E+02,2.4,27.7,5442,0.974,15.15
CONFIRMED,46.8776724,137.66791,10.041,5.40E+02,2.62,37.5,5504,0.993,14.632
CONFIRMED,89.1935737,217.82184,4.0104,8.68E+02,3.81,43.5,6071,1.295,12.487
CONFIRMED,13.09390911,144.525,2.2805,3.99E+02,2.2,62.2,5772,0.956,12.706
CONFIRMED,4.915385452,132.69448,2.7757,2.26E+02,1.46,65.6,5772,0.956,12.706
FALSE POSITIVE,87.455958,136.23042,18.257,1.60E+03,70.11,118.9,7700,2.111,13.36
FALSE POSITIVE,0.805259257,132.100916,1.42246,1.38E+03,63.55,329.7,5872,2.022,13.742
CONFIRMED,9.76785911,139.43968,2.1649,5.85E+02,2.54,54.1,5371,0.852,13.766
CONFIRMED,40.80957343,142.69218,3.158,4.36E+02,3.44,39.3,6183,1.3,12.988
CONFIRMED,22.08551599,135.23432,2.1727,3.16E+03,3.34,48.5,3828,0.565,15.967
CONFIRMED,1.151166776,133.231766,1.0907,5.78E+02,1.28,83.7,3951,0.535,14.44
FALSE POSITIVE,4.693305543,136.8627229,5.17249,1.45E+04,17.85,1765.2,6365,1.47,12.291
CONFIRMED,3.246732048,133.379165,3.0535,7.00E+03,12.4,775,5763,1.457,14.678
FALSE POSITIVE,8.3606759,138.81934,6.287,1.95E+02,1.49,17.7,5771,1.068,13.982
CONFIRMED,62.1385979,161.14834,4.2938,8.86E+02,5.14,36.1,5123,1.621,14.52
CANDIDATE,17.1181036,136.19429,1.29,1.68E+02,1.22,6.1,5576,0.929,14.52
CANDIDATE,8.29482811,133.50201,2.7437,5.60E+02,2.76,38.1,5773,0.939,14.469
FALSE POSITIVE,26.635216,155.5577,5.949,1.49E+03,27.64,30.6,5215,0.882,15.551
CONFIRMED,17.84850835,148.39117,5.8919,3.91E+02,3.29,43.5,6188,1.465,13.781
CONFIRMED,26.1363443,131.61796,6.613,3.62E+02,2.8,38.1,6188,1.465,13.781
CONFIRMED,11.1895709,140.63504,5.3,1.43E+02,1.81,19.9,6188,1.465,13.781
CONFIRMED,2.757977384,131.87907,2.1489,2.11E+02,1.69,22.5,5919,1,13.263
FALSE POSITIVE,18.6928606,143.8331829,3.88584,5.13E+04,14.81,1281.9,5190,0.66,16.147
CONFIRMED,14.80075082,132.82179,5.762,5.01E+02,17.38,54,6327,7.663,12.538
CONFIRMED,3.126861192,133.724959,1.1926,7.95E+02,5.12,94.6,4854,1.749,13.884
FALSE POSITIVE,87.24250316,153.344695,4.1206,1.79E+04,15.86,335.2,5671,0.955,14.288
CANDIDATE,10.24061136,131.667897,0.9617,2.96E+03,3.9,72,5227,0.64,15.408
CONFIRMED,16.87725775,138.64907,3.7917,8.18E+02,2.54,43.1,5497,0.872,14.101
CONFIRMED,12.05705659,135.41595,2.3462,5.24E+02,1.96,20.8,5365,0.834,13.576
CONFIRMED,28.26727385,140.92561,4.5839,1.16E+03,2.93,42.1,5132,0.886,14.907
CONFIRMED,3.770590654,133.39088,2.029,3.14E+02,2.13,37.1,5714,1.208,14.668
CONFIRMED,2.7073064,132.43068,3.4378,6.95E+01,1.36,31.7,6045,1.629,11.894
CANDIDATE,23.11707222,149.56221,3.9948,2.41E+03,4.37,61.2,5275,0.796,15.462
CANDIDATE,4.77502117,355.45644,1.7087,4.51E+02,1.73,16.7,5275,0.796,15.462
CONFIRMED,66.4159789,188.13988,7.061,2.05E+03,3.44,33.6,5383,0.759,15.983
CONFIRMED,8.0103929,135.31823,4.2713,2.94E+02,1.88,34.6,5616,1.111,14.601
CANDIDATE,5.69590202,139.231637,3.5661,4.92E+03,6.61,391.2,6106,0.94,14.858
CONFIRMED,27.6666375,143.86343,6.315,3.24E+02,2.04,24.4,5616,1.111,14.601
CONFIRMED,5.19559398,132.72178,3.748,1.16E+02,1.18,16,5616,1.111,14.601
CONFIRMED,57.2488518,184.6864,6.083,1.46E+03,3.19,29.8,5642,0.846,15.99
CONFIRMED,37.0551726,200.20176,5.439,1.03E+03,3.19,23.2,5642,0.846,15.99
CONFIRMED,16.33269981,136.90909,2.174,3.00E+02,1.61,17.5,5208,0.772,12.957
CONFIRMED,10.05550267,173.2234,2.951,1.48E+02,0.92,13.6,5208,0.772,12.957
CONFIRMED,9.30413878,140.33868,1.9254,6.37E+02,1.67,24.2,4458,0.658,14.796
CONFIRMED,4.33722007,132.85152,2.4973,3.59E+02,1.63,47.9,5390,0.876,13.53
CONFIRMED,1.653889476,132.18845,1.7242,1.24E+02,0.97,22.3,5390,0.876,13.53
CONFIRMED,150.8783198,206.69223,8.6797,6.60E+02,4.37,70.6,5504,1.737,12.443
CONFIRMED,3.553831111,134.64066,3.1029,1.92E+02,1.62,77.4,6015,1.081,12.722
CONFIRMED,1.6783263,136.05259,2.5123,1.46E+02,1.57,76.1,6015,1.081,12.722
CONFIRMED,5.65378163,131.71154,1.9483,3.67E+02,1.82,37.8,5988,0.934,14.377
CONFIRMED,5.99185827,136.88244,1.7215,1.86E+02,2.75,32.1,6157,1.695,12.239
CONFIRMED,120.0183551,134.18742,11.637,8.86E+02,4.54,46.1,6469,1.467,13.256
CONFIRMED,14.30517579,135.06301,4.535,8.63E+02,3.05,37.5,5741,0.846,15.338
CONFIRMED,9.18189122,132.40505,4.343,3.64E+02,2.17,18.2,5741,0.846,15.338
CANDIDATE,2.64622742,132.66343,1.407,1.56E+02,0.99,8.4,5167,0.787,15.498
CONFIRMED,2.935362067,136.18415,1.5043,1.05E+03,3.15,38,4922,0.823,15.622
CONFIRMED,13.53953595,143.15629,4.389,1.34E+02,2.32,21.8,6109,1.997,13.628
CONFIRMED,22.7082375,133.72114,3.503,2.99E+02,1.72,22,6170,0.992,14.574
CONFIRMED,7.97033985,136.55775,2.6675,4.91E+02,1.81,23.5,5774,0.818,15.833
FALSE POSITIVE,5.33459393,133.43443,2.642,2.26E+02,0.79,14.7,4275,0.533,14.853
CONFIRMED,8.49640437,138.73595,2.2128,8.34E+02,2.14,21.8,5093,0.709,15.888
CONFIRMED,66.1843646,141.62259,5.155,5.61E+02,2.72,21.3,5640,0.978,14.862
CONFIRMED,2.032318856,132.64394,1.1596,2.88E+02,1.12,20.4,4670,0.682,15.13
CANDIDATE,65.18703725,177.6208875,5.44,,,,,,15.13
CONFIRMED,3.62275506,132.99267,2.7868,1.81E+02,1.62,22.3,5794,1.216,14.762
CONFIRMED,2.892216772,132.87726,1.3596,3.61E+02,1.31,23.9,4229,0.615,15.068
CONFIRMED,187.746606,157.35064,5.885,1.58E+03,2.95,20.2,5303,0.753,15.206
CONFIRMED,2.543063763,132.68159,2.8473,1.52E+02,1.26,26.5,5579,1.029,14.736
CONFIRMED,3.177414601,134.478892,1.5262,1.13E+03,2.65,113.7,5303,0.708,14.708
CONFIRMED,2.168451063,132.14107,1.458,4.67E+02,2.41,45.5,6153,1.109,15.141
CONFIRMED,37.8154157,141.10346,4.662,2.86E+02,1.21,22.4,4856,0.705,12.879
CONFIRMED,53.5783052,171.1857,5.194,2.25E+02,1.16,15.4,4856,0.705,12.879
CANDIDATE,6.69332825,137.70324,2.311,7.82E+02,2.44,23.4,4245,0.637,15.673
CONFIRMED,33.1362861,169.50676,4.163,8.25E+02,2.05,16.3,4245,0.637,15.673
CONFIRMED,7.72513619,176.80202,2.042,3.82E+02,1.71,10.5,4245,0.637,15.673
CONFIRMED,10.71253475,137.16499,2.7186,1.20E+03,2.02,31.2,4175,0.544,15.813
CONFIRMED,32.5635249,163.46038,5.418,5.78E+02,2.05,24.1,5225,0.859,15.48
CONFIRMED,12.19140405,136.33677,1.8832,6.66E+02,2.46,19.4,5516,0.967,15.364
CONFIRMED,6.11784972,133.61873,3.458,6.05E+01,1.05,25.8,6226,1.333,12.168
CONFIRMED,3.97599629,133.62238,2.2029,2.06E+02,1.11,27.3,5143,0.778,14.11
CONFIRMED,7.68478504,137.64035,2.447,2.74E+02,1.47,21.4,5344,0.907,14.776
FALSE POSITIVE,0.990516282,131.84152,2.019,1.02E+02,3.52,20.4,5975,2.399,13.405
CONFIRMED,15.0447098,133.20895,5.823,9.79E+01,1.51,23.4,5798,1.525,13.037
CANDIDATE,29.0726293,136.97364,2.516,4.40E+02,2.32,20.9,5799,1.042,14.409
CONFIRMED,1.118547814,132.84826,1.5534,2.35E+02,0.98,21.7,4496,0.658,15.793
CONFIRMED,6.42199919,134.58037,2.6192,1.62E+02,1.25,25.4,5985,0.981,13.862
CONFIRMED,9.75374033,134.06014,2.348,4.31E+02,1.87,18.9,5806,0.899,15.158
CONFIRMED,81.3153052,175.9957,5.807,7.16E+02,2.55,20.7,5325,0.975,15.111
CONFIRMED,51.3283527,177.67418,9.357,6.92E+02,3.06,34.7,6119,1.119,14.955
CONFIRMED,19.7919389,149.30719,3.787,3.84E+02,2.58,22.8,6285,1.039,14.09
CONFIRMED,26.8475962,142.17023,10.068,2.54E+02,3.2,39.2,5508,1.988,12.848
CONFIRMED,62.8917493,139.12778,6.831,7.91E+02,2.5,22.6,5052,0.855,15.481
CONFIRMED,14.87149773,137.69573,2.4076,9.45E+02,1.59,27.3,3825,0.524,15.673
CONFIRMED,2.732767897,354.09581,1.1102,6.13E+02,1.42,27,3825,0.524,15.673
FALSE POSITIVE,119.8401019,161.863461,3.6796,5.45E+03,26.96,83.7,4602,0.675,14.945
CONFIRMED,9.61375316,132.185679,4.654,7.98E+02,3.27,108.6,5997,1.11,14.283
CANDIDATE,6.6254781,136.1733,2.358,1.22E+02,0.9,2.7,5211,0.832,14.11
CONFIRMED,29.9685917,147.8598,6.678,3.10E+02,1.91,26.5,6249,1.076,14.456
CONFIRMED,33.2407985,143.46683,4.675,3.42E+02,1.51,20.4,5382,0.827,14.477
FALSE POSITIVE,2.97600846,132.98121,4.274,1.03E+02,2.27,25.9,6208,2.088,13.4
CONFIRMED,15.18727049,134.05495,4.509,2.93E+02,1.94,21.4,6136,1.005,14.724
CONFIRMED,28.6853212,159.87094,6.307,6.89E+02,2.69,23.8,5726,0.838,15.658
CONFIRMED,0.588001053,132.058754,1.1451,2.97E+02,0.99,50.9,3814,0.57,14.934
CONFIRMED,85.7357202,170.98121,7.625,7.48E+02,2.94,20.8,6096,1.077,15.301
CONFIRMED,1.078389713,133.25041,1.3394,3.01E+02,1.98,23.6,5325,0.985,15.143
CONFIRMED,5.03728033,134.1094,2.0619,7.63E+01,1.55,20.9,6387,1.381,12.189
CONFIRMED,3.289726319,131.75522,2.3274,2.35E+02,1.37,27,5463,0.91,14.866
CONFIRMED,7.18644594,136.62345,1.4972,4.02E+02,2.19,23.8,5463,0.91,14.866
CONFIRMED,15.94248453,146.33157,3.4894,1.09E+03,2.62,34.3,5376,0.806,15.886
CONFIRMED,41.0081117,147.03382,4.376,1.00E+03,2.64,43.9,5303,0.708,14.708
CONFIRMED,11.55562042,138.19752,1.6758,4.42E+02,2.11,22.7,5420,0.85,14.816
CONFIRMED,12.2885046,141.61869,2.807,3.42E+02,3.22,12,5109,1.671,14.414
CONFIRMED,17.13263125,147.1546,3.0555,8.50E+02,2.31,26.4,5477,0.794,15.842
CONFIRMED,19.0231361,139.65988,3.431,4.02E+02,2.04,19.7,5569,0.954,15.198
CONFIRMED,4.57948235,135.09685,3.106,2.07E+02,1.35,20,5569,0.954,15.198
CONFIRMED,1.003931703,132.09988,1.4361,4.91E+02,1.6,25.2,4949,0.741,15.942
FALSE POSITIVE,0.614083885,132.46969,0.9817,3.90E+02,2.55,36.4,6521,1.276,15.177
CONFIRMED,55.8224775,169.03741,5.457,8.80E+02,2.13,23.7,5162,0.736,15.624
CANDIDATE,1.34145255,132.69106,7.502,2.66E+01,1.31,31.2,7495,2.389,12.783
CONFIRMED,6.11010439,136.91214,2.314,5.97E+01,0.93,11.8,6213,1.195,12.716
CONFIRMED,4.286866229,138.614882,4.4726,1.32E+03,4.14,167.3,6228,1.049,14.982
CONFIRMED,10.27380957,134.65748,3.252,3.53E+02,1.68,19.2,5806,0.899,14.909
CONFIRMED,13.39155154,133.05499,3.391,4.89E+01,1.58,24.5,6197,2.188,10.421
CONFIRMED,5.62904396,134.74679,3.7295,3.95E+01,1.39,32.2,6197,2.188,10.421
CONFIRMED,8.2562857,137.9267,2.0378,3.73E+01,1.49,18.2,6197,2.188,10.421
CONFIRMED,12.33087921,361.9744,3.0664,8.72E+02,2.34,28.3,5376,0.806,15.886
CONFIRMED,4.421566535,132.18465,2.1229,6.84E+02,2.19,31.9,4299,0.697,15.18
CONFIRMED,15.72585941,133.98774,3.8284,1.31E+03,2.69,32.7,5332,0.755,16.144
CONFIRMED,1.252753881,133.17054,2.1472,2.00E+02,2.44,40.5,5907,1.705,14.69
CONFIRMED,13.36019864,131.81481,2.788,7.00E+02,1.84,21.3,4500,0.688,15.637
CONFIRMED,76.957056,192.33682,9.551,3.67E+02,2.09,26.5,5878,1.041,14.353
CANDIDATE,14.97974335,143.46174,4.126,1.21E+03,3.79,33.2,5062,0.853,15.549
CANDIDATE,6.7445683,135.5092,3.813,8.66E+01,0.86,6.8,6106,0.923,15.319
CANDIDATE,33.35859852,137.57061,2.286,1.83E+03,4.44,32.2,5009,0.799,15.253
CONFIRMED,8.84784273,140.15085,2.0572,4.60E+02,1.15,21.1,3867,0.552,14.911
CONFIRMED,9.98970266,133.76102,3.7,9.88E+02,2.48,24.1,5265,0.81,15.909
CONFIRMED,5.63252508,133.81818,2.1448,6.34E+02,2.04,70.9,5216,0.804,14.353
CONFIRMED,1.442592305,134.07188,2.9698,1.66E+02,2.67,27.1,7216,2.043,11.558
CONFIRMED,14.17222858,142.60134,2.6297,2.47E+02,2.39,24.5,5845,1.314,13.776
CONFIRMED,4.92031063,135.40577,4.046,8.10E+01,1.18,17.7,5845,1.314,13.776
CONFIRMED,56.4931698,143.99262,8.704,4.12E+02,4.43,31.8,6160,2.046,13.524
CONFIRMED,13.82142084,131.79237,3.985,7.65E+02,2.2,75.3,4983,0.651,14.139
FALSE POSITIVE,2.30367952,133.76909,3.0898,1.36E+02,1.3,18.9,6191,0.865,15.206
CONFIRMED,5.78387049,135.5798,1.3966,4.13E+02,2.07,20.7,6063,1.012,15.049
CONFIRMED,11.08507658,355.03627,1.751,7.72E+02,2.5,17.7,5080,0.793,15.938
CONFIRMED,0.571038347,131.653752,1.1267,2.42E+02,1.65,38.2,5132,0.886,14.098
CONFIRMED,8.77425786,132.33386,2.2245,2.40E+02,1.75,22.3,5146,0.905,13.714
CONFIRMED,4.51005082,134.56954,2.1533,2.95E+02,1.74,21.5,5362,1.032,14.979
CONFIRMED,37.6468519,161.46355,6.344,4.27E+02,5.37,31,5443,2.652,14.288
CONFIRMED,29.4557841,154.17062,3.451,5.34E+02,2.19,26.6,6036,0.949,14.385
CONFIRMED,12.46600444,134.003258,5.0066,2.23E+03,5.65,304.6,6038,1.191,14.247
CONFIRMED,2.361724472,133.23932,1.2167,5.87E+02,1.53,34.6,4478,0.651,15.658
CONFIRMED,34.7630543,161.74217,4.309,2.94E+02,1.75,24,5670,0.95,13.865
CONFIRMED,20.0545282,136.56587,7.173,3.05E+02,2.63,26.9,6056,1.209,14.881
CONFIRMED,3.17059731,132.67813,1.6686,3.25E+02,1.69,20.1,5431,0.843,15.353
CONFIRMED,27.0142622,132.52245,5.385,2.88E+02,2,25.5,5949,1.184,13.86
CONFIRMED,12.50945798,136.99217,3.479,1.55E+02,1.54,16,5949,1.184,13.86
CONFIRMED,26.0203329,154.5286,4.965,1.16E+03,4.53,23.7,5624,1.244,15.889
CONFIRMED,0.769854899,132.51944,1.0243,1.10E+02,0.93,28.7,5173,0.822,13.829
CONFIRMED,6.89226333,132.4644,2.4921,2.14E+02,2.13,22.4,5862,1.463,14.207
CONFIRMED,8.07127043,137.76604,2.393,3.18E+02,1.53,16.9,5766,0.853,15.553
CONFIRMED,11.01819178,139.87858,4.635,5.46E+02,2.64,22,6075,0.969,15.832
CONFIRMED,30.9505927,153.84507,5.394,3.01E+02,1.51,23.2,4983,0.651,14.139
CANDIDATE,6.3143447,173.3097,2.796,1.91E+02,1.34,6.4,6075,0.969,15.832
CANDIDATE,78.7327023,168.72926,5.041,4.96E+02,7.76,19.1,6715,2.763,13.003
FALSE POSITIVE,3.979867514,132.071233,2.3607,9.08E+02,26.5,65.2,6032,0.973,14.782
CANDIDATE,42.3375799,158.25187,4.924,3.55E+02,1.45,18.1,4132,0.581,14.275
CONFIRMED,23.3593589,144.01826,5.389,5.70E+02,2.98,25.9,6244,1.009,15.347
CONFIRMED,9.69310837,134.53003,2.734,1.13E+03,2.12,30.4,4818,0.618,15.914
FALSE POSITIVE,24.2598301,132.47982,3.897,1.54E+03,25.42,26.3,5485,0.805,15.962
FALSE POSITIVE,116.5214317,144.13378,5.577,7.72E+02,44.41,25,6056,1.411,13.806
CONFIRMED,0.813166357,131.82536,1.4122,1.74E+02,1.14,34.8,5237,0.887,14.113
CONFIRMED,10.86062378,136.65957,2.2874,1.90E+02,2.09,20.7,6455,1.496,13.957
CONFIRMED,24.08632177,148.20086,2.236,1.04E+03,2.78,18,4973,0.768,15.464
CANDIDATE,1.834277283,132.85895,1.7499,2.87E+02,1.64,24.8,5751,0.958,15.198
FALSE POSITIVE,17.40208965,141.93057,3.745,6.17E+02,16.37,20.9,4098,0.615,15.245
CONFIRMED,37.9456138,134.78331,4.093,1.03E+03,2.79,24,5861,0.865,15.939
FALSE POSITIVE,1.141877248,170.3386848,4.33931,3.09E+05,88.62,2036.3,6158,1.368,13.418
FALSE POSITIVE,5.77675928,143.09616,6.789,3.52E+03,32.77,141.4,5544,0.875,14.572
CONFIRMED,24.1738244,135.62471,3.056,5.33E+02,2.21,21.5,5468,0.968,15.056
CONFIRMED,5.186737262,134.99509,0.8023,7.13E+02,2.4,25.7,5230,0.777,14.988
CANDIDATE,1.151244686,132.64551,1.272,2.70E+02,40.32,32.6,6086,0.921,14.519
CONFIRMED,1.217000383,132.03128,1.3285,4.60E+02,1.58,26.5,4859,0.757,15.975
CONFIRMED,13.6823798,139.18611,4.153,1.80E+02,1.43,17,6102,1.026,14.5
CANDIDATE,2.42088277,133.57809,2.812,2.23E+02,2.27,20.7,5583,1.53,15.61
CONFIRMED,8.79618433,135.67645,3.3781,2.86E+02,1.77,27,6142,1.046,15.159
CONFIRMED,16.85592593,138.26808,2.309,8.72E+02,1.7,19.5,3967,0.587,15.661
CONFIRMED,14.36270451,141.435,4.564,3.49E+02,2.31,26.8,6643,1.216,14.612
CONFIRMED,69.8956789,160.66805,5.276,5.48E+02,3.04,21.9,5390,1.104,14.552
CONFIRMED,6.24667547,136.38688,11.261,3.97E+02,14.93,63.6,4604,6.221,12.495
CONFIRMED,2.344512589,132.87316,1.4116,5.89E+01,0.97,21.9,5821,1.132,12.589
CONFIRMED,5.766165573,134.01725,3.8314,3.65E+02,2.27,65.6,6038,1.191,14.247
CONFIRMED,18.3027235,142.89166,8.262,1.87E+02,2.72,24.7,5528,1.839,14.31
CONFIRMED,2.888904439,132.15271,1.6043,4.02E+02,1.68,23.7,4895,0.759,15.195
CONFIRMED,17.14648756,140.66122,4.2354,4.40E+02,3.64,28.3,5559,1.412,14.941
CONFIRMED,16.09227518,142.51659,2.1072,1.29E+02,0.98,18.1,4657,0.67,12.485
CANDIDATE,38.103908,161.08647,3.837,9.61E+02,4.08,20.3,5250,0.771,15.469
CONFIRMED,62.7843981,157.30698,4.81,3.25E+02,2.28,21.1,6053,1.26,13.358
CONFIRMED,91.500873,165.67309,4.842,7.05E+02,1.82,22.6,5051,0.706,14.447
CONFIRMED,44.2993483,141.28194,4.298,7.98E+02,2.68,23.2,5316,0.915,15.115
CONFIRMED,3.13877646,133.65614,1.6663,1.74E+02,0.97,20.2,5242,0.722,14.364
CANDIDATE,5.24242029,133.23047,6.413,3.35E+02,3.86,20.1,5383,1.829,15.83
CONFIRMED,35.9682692,138.66885,2.839,2.70E+02,2.95,21,5883,1.529,13.848
CONFIRMED,25.3690868,143.68699,4.746,1.10E+02,1.67,21.6,6126,1.406,12.476
CONFIRMED,6.89213244,131.63179,1.725,8.20E+01,1.35,17.3,6164,1.446,12.618
CONFIRMED,42.3006282,168.77783,4.372,5.08E+02,2.54,23.8,5852,1.129,14.766
FALSE POSITIVE,0.838597429,141.537817,1.68668,2.48E+03,44.67,303.7,6366,1.236,14.784
CONFIRMED,55.1866213,180.75953,9.133,3.76E+02,2.47,36.2,6178,1.267,13.573
FALSE POSITIVE,1.728528176,131.80851,3.682,1.98E+02,5.07,26.2,6153,3.279,12.99
CONFIRMED,14.97436238,141.50057,2.4461,2.65E+02,1.28,24.9,5311,0.8,13.747
CONFIRMED,3.97076603,134.63962,1.814,3.49E+02,1.6,23.9,5178,0.778,15.443
CONFIRMED,2.352273912,131.80267,1.7389,3.19E+02,1.29,20.4,4816,0.748,15.848
FALSE POSITIVE,22.0425953,134.1281,61.2018,3.48E+02,28.78,90.4,5974,1.26,12.999
CONFIRMED,23.34036251,136.20727,2.054,6.15E+02,2.21,18.2,5530,0.892,15.23
